Sample	posterior	likelihood	prior	TreeHeight	varValues	ORCucldMean	ORCsigma	ORCRatesStat.mean	ORCRatesStat.variance	ORCRatesStat.coefficientOfVariation	FBD	diversificationRateFBD	turnoverFBD	samplingProportionFBD	originFBD	SACountFBD
6660000	5338.09880594239	6211.68030493655	-873.581498994159	70.1043479992131	0.00263788068682943	0.0101633928174955	1.71827423551171	0.0115087434070772	0.000780352616436439	2.80484164721438	-159.882966645576	0.0250936930985186	0.607076472102305	0.312927708336353	79.2610684622213	2
6670000	5322.36175697649	6213.37112941617	-891.009372439683	79.5953258519396	0.00196294612164626	0.0101920043602434	1.66891801147935	0.0138218106717449	0.00182605734608755	3.01658802026888	-163.468500088227	0.00915352568994878	0.881374924504413	0.0926050108310858	87.2009936437684	2
6680000	5307.44703971345	6177.58066672129	-870.133627007839	70.4521239731855	0.00275926845556846	0.0101047017417348	1.91445199339987	0.0132008834369685	0.00187081516272915	3.15359638737885	-156.216898288856	0.00794257040804795	0.930008609264681	0.0788235684410278	76.047021685153	2
6690000	5262.4811940528	6157.40794725115	-894.926753198351	126.412069326662	0.00240226527198448	0.0117160196545736	1.78542922424509	0.0156961030798477	0.00186220664775136	2.67559640950331	-172.039160346827	0.00590782712276409	0.848194719918827	0.249934037797124	135.139242853694	2
6700000	5317.11442654518	6179.8224850472	-862.708058502012	109.747111804852	0.00252965923297511	0.0102680211173774	1.97501063286274	0.00942810799236587	0.00030095127627731	2.75082280866449	-172.318208343598	0.0185639766007415	0.676530646325352	0.232259709470131	109.948196527153	2
6710000	5286.73909006064	6174.79164974224	-888.052559681607	106.8962188552	0.00204620317562658	0.0103871201122544	1.67959997250314	0.0117185684493406	0.00101274672757374	3.06538724373222	-177.304678497161	0.0198657864639466	0.693470751855167	0.101121834563872	135.912859229691	2
6720000	5292.96972712623	6181.08024932874	-888.110522202513	99.6650900161054	0.00205728732121725	0.0106078358582355	1.67952079975047	0.00908059618109845	0.000947910629282693	3.29685514699614	-181.046237751959	0.0055365271962011	0.913935643552175	0.0687255677139486	151.326926190547	2
6730000	5294.53019179674	6180.7039352494	-886.173743452666	105.03442864962	0.00191565100926722	0.0100961518436043	1.66894477745258	0.0137277428110224	0.000662213611256213	3.09417847869977	-172.509912837405	0.00596178230217019	0.87534344891468	0.189601314715251	118.912781196362	2
6740000	5302.99550613374	6202.13833813905	-899.142832005308	111.182245411234	0.00142343319107382	0.010109758724829	1.79306310401134	0.0133353209012761	0.000564257081553251	2.88325412519049	-180.075784311981	0.0211500765196428	0.689939369376525	0.142269105109974	156.973054086557	2
6750000	5284.02489567727	6191.96691379243	-907.942018115158	98.7475284751124	0.0013116557758955	0.0102147123501446	1.97259522852397	0.013682405394672	0.00157016152042735	3.55195259915063	-183.204688142143	0.00800851906132512	0.805069041348724	0.151508417699433	141.289825965269	2
6760000	5268.0859688225	6198.79254374513	-930.706574922632	174.523622931631	0.00116842927328334	0.0104021427704788	1.71005340424128	0.0154306798382845	0.00037339348951138	1.68833659300391	-181.924739970968	0.0137463484179877	0.767371483472427	0.089548468421926	228.216451153245	2
6770000	5273.16323165422	6199.91259728041	-926.749365626184	150.126565962024	0.00128011959105651	0.0103107730541963	1.84600885895046	0.0141641112381482	0.000854881101495431	2.30783313599396	-188.317255096085	0.0059838082302158	0.807397636198484	0.196837589636469	187.464177687866	2
6780000	5320.82712760994	6207.81711755637	-886.989989946433	110.75403849081	0.00182170694737997	0.0101091743740321	1.72459256447025	0.0131292638448304	0.000120238753954101	1.85320702224689	-168.164214170106	0.0232667862308341	0.715342523358254	0.127510364377775	123.858171913958	2
